[2022-01-28 10:19:16] arc_res50_adam_0.05_step_do_started.
[2022-01-28 11:29:13] Epoch#3_Iter#128000_loss: 27.689
[2022-01-28 11:30:01] Epoch#3_Iter#140800_loss: 27.067
[2022-01-28 11:30:49] Epoch#3_Iter#153600_loss: 30.519
[2022-01-28 11:31:36] Epoch#3_Iter#166400_loss: 27.916
[2022-01-28 11:32:24] Epoch#3_Iter#179200_loss: 28.118
[2022-01-28 11:33:12] Epoch#3_Iter#192000_loss: 26.537
[2022-01-28 11:34:00] Epoch#3_Iter#204800_loss: 22.991
[2022-01-28 11:34:47] Epoch#3_Iter#217600_loss: 25.602
[2022-01-28 11:35:35] Epoch#3_Iter#230400_loss: 23.267
[2022-01-28 11:36:23] Epoch#3_Iter#243200_loss: 27.275
[2022-01-28 11:37:11] Epoch#3_Iter#256000_loss: 26.354
[2022-01-28 11:37:58] Epoch#3_Iter#268800_loss: 26.650
[2022-01-28 11:38:46] Epoch#3_Iter#281600_loss: 23.163
[2022-01-28 11:39:34] Epoch#3_Iter#294400_loss: 24.498
[2022-01-28 11:40:21] Epoch#3_Iter#307200_loss: 24.452
[2022-01-28 11:41:09] Epoch#3_Iter#320000_loss: 23.526
[2022-01-28 11:41:57] Epoch#3_Iter#332800_loss: 24.738
[2022-01-28 11:42:45] Epoch#3_Iter#345600_loss: 24.923
[2022-01-28 11:43:32] Epoch#3_Iter#358400_loss: 21.902
[2022-01-28 11:44:20] Epoch#3_Iter#371200_loss: 24.235
[2022-01-28 11:45:08] Epoch#3_Iter#384000_loss: 27.744
[2022-01-28 11:45:56] Epoch#3_Iter#396800_loss: 24.965
[2022-01-28 11:46:43] Epoch#3_Iter#409600_loss: 22.362
[2022-01-28 11:47:31] Epoch#3_Iter#422400_loss: 27.048
[2022-01-28 11:48:19] Epoch#3_Iter#435200_loss: 23.318
[2022-01-28 11:49:06] Epoch#3_Iter#448000_loss: 21.541
[2022-01-28 11:49:54] Epoch#3_Iter#460800_loss: 25.779
[2022-01-28 11:50:42] Epoch#3_Iter#473600_loss: 24.876
[2022-01-28 11:51:30] Epoch#3_Iter#486400_loss: 24.917
[2022-01-28 11:52:15] Epoch#3 end, Accuracy: 93.967, Time Consumed: 1829.141
[2022-01-28 11:53:03] Epoch#4_Iter#12800_loss: 21.063
[2022-01-28 11:53:51] Epoch#4_Iter#25600_loss: 23.807
[2022-01-28 11:54:39] Epoch#4_Iter#38400_loss: 21.858
[2022-01-28 11:55:26] Epoch#4_Iter#51200_loss: 25.184
[2022-01-28 11:56:14] Epoch#4_Iter#64000_loss: 26.281
[2022-01-28 11:57:02] Epoch#4_Iter#76800_loss: 22.709
[2022-01-28 11:57:50] Epoch#4_Iter#89600_loss: 25.590
[2022-01-28 11:58:37] Epoch#4_Iter#102400_loss: 22.882
[2022-01-28 11:59:25] Epoch#4_Iter#115200_loss: 23.576
[2022-01-28 12:00:13] Epoch#4_Iter#128000_loss: 17.414
[2022-01-28 12:01:01] Epoch#4_Iter#140800_loss: 24.221
[2022-01-28 12:01:48] Epoch#4_Iter#153600_loss: 21.659
[2022-01-28 12:02:36] Epoch#4_Iter#166400_loss: 24.355
[2022-01-28 12:03:24] Epoch#4_Iter#179200_loss: 22.737
[2022-01-28 12:04:12] Epoch#4_Iter#192000_loss: 21.043
[2022-01-28 12:04:59] Epoch#4_Iter#204800_loss: 21.879
[2022-01-28 12:05:47] Epoch#4_Iter#217600_loss: 21.154
[2022-01-28 12:06:35] Epoch#4_Iter#230400_loss: 20.769
[2022-01-28 12:07:22] Epoch#4_Iter#243200_loss: 21.436
[2022-01-28 12:08:10] Epoch#4_Iter#256000_loss: 24.896
[2022-01-28 12:08:58] Epoch#4_Iter#268800_loss: 22.637
[2022-01-28 12:09:46] Epoch#4_Iter#281600_loss: 25.489
[2022-01-28 12:10:33] Epoch#4_Iter#294400_loss: 22.441
[2022-01-28 12:11:21] Epoch#4_Iter#307200_loss: 25.618
[2022-01-28 12:12:09] Epoch#4_Iter#320000_loss: 22.692
[2022-01-28 12:12:57] Epoch#4_Iter#332800_loss: 22.703
[2022-01-28 12:13:44] Epoch#4_Iter#345600_loss: 22.769
[2022-01-28 12:14:32] Epoch#4_Iter#358400_loss: 22.704
[2022-01-28 12:15:20] Epoch#4_Iter#371200_loss: 22.040
[2022-01-28 12:16:08] Epoch#4_Iter#384000_loss: 21.723
[2022-01-28 12:16:55] Epoch#4_Iter#396800_loss: 23.538
[2022-01-28 12:17:43] Epoch#4_Iter#409600_loss: 22.259
[2022-01-28 12:18:31] Epoch#4_Iter#422400_loss: 23.589
[2022-01-28 12:19:19] Epoch#4_Iter#435200_loss: 22.486
[2022-01-28 12:20:06] Epoch#4_Iter#448000_loss: 18.422
[2022-01-28 12:20:54] Epoch#4_Iter#460800_loss: 23.695
[2022-01-28 12:21:42] Epoch#4_Iter#473600_loss: 23.784
[2022-01-28 12:22:30] Epoch#4_Iter#486400_loss: 19.162
[2022-01-28 12:23:15] Epoch#4 end, Accuracy: 95.833, Time Consumed: 1829.458
[2022-01-28 12:24:03] Epoch#5_Iter#12800_loss: 20.011
[2022-01-28 12:24:51] Epoch#5_Iter#25600_loss: 21.021
[2022-01-28 12:25:39] Epoch#5_Iter#38400_loss: 20.395
[2022-01-28 12:26:26] Epoch#5_Iter#51200_loss: 24.051
[2022-01-28 12:27:14] Epoch#5_Iter#64000_loss: 21.502
[2022-01-28 12:28:02] Epoch#5_Iter#76800_loss: 23.870
[2022-01-28 12:28:50] Epoch#5_Iter#89600_loss: 23.132
[2022-01-28 12:29:37] Epoch#5_Iter#102400_loss: 19.523
[2022-01-28 12:30:25] Epoch#5_Iter#115200_loss: 22.858
[2022-01-28 12:31:13] Epoch#5_Iter#128000_loss: 22.613
[2022-01-28 12:32:01] Epoch#5_Iter#140800_loss: 19.559
[2022-01-28 12:32:49] Epoch#5_Iter#153600_loss: 22.541
[2022-01-28 12:33:36] Epoch#5_Iter#166400_loss: 21.605
[2022-01-28 12:34:24] Epoch#5_Iter#179200_loss: 21.983
[2022-01-28 12:35:12] Epoch#5_Iter#192000_loss: 18.775
[2022-01-28 12:35:59] Epoch#5_Iter#204800_loss: 22.089
[2022-01-28 12:36:47] Epoch#5_Iter#217600_loss: 21.525
[2022-01-28 12:37:35] Epoch#5_Iter#230400_loss: 23.203
[2022-01-28 12:38:23] Epoch#5_Iter#243200_loss: 22.431
[2022-01-28 12:39:10] Epoch#5_Iter#256000_loss: 22.785
[2022-01-28 12:39:58] Epoch#5_Iter#268800_loss: 22.304
[2022-01-28 12:40:46] Epoch#5_Iter#281600_loss: 24.419
[2022-01-28 12:41:34] Epoch#5_Iter#294400_loss: 23.365
[2022-01-28 12:42:21] Epoch#5_Iter#307200_loss: 24.132
[2022-01-28 12:43:09] Epoch#5_Iter#320000_loss: 17.830
[2022-01-28 12:43:57] Epoch#5_Iter#332800_loss: 21.044
[2022-01-28 12:44:45] Epoch#5_Iter#345600_loss: 21.743
[2022-01-28 12:45:32] Epoch#5_Iter#358400_loss: 21.865
[2022-01-28 12:46:20] Epoch#5_Iter#371200_loss: 20.771
[2022-01-28 12:47:08] Epoch#5_Iter#384000_loss: 22.360
[2022-01-28 12:47:56] Epoch#5_Iter#396800_loss: 21.237
[2022-01-28 12:48:43] Epoch#5_Iter#409600_loss: 20.389
[2022-01-28 12:49:31] Epoch#5_Iter#422400_loss: 20.198
[2022-01-28 12:50:19] Epoch#5_Iter#435200_loss: 23.312
[2022-01-28 12:51:06] Epoch#5_Iter#448000_loss: 18.069
[2022-01-28 12:51:54] Epoch#5_Iter#460800_loss: 20.531
[2022-01-28 12:52:42] Epoch#5_Iter#473600_loss: 22.902
[2022-01-28 12:53:30] Epoch#5_Iter#486400_loss: 20.232
[2022-01-28 12:54:15] Epoch#5 end, Accuracy: 96.167, Time Consumed: 1829.593
[2022-01-28 12:55:03] Epoch#6_Iter#12800_loss: 17.330
[2022-01-28 12:55:51] Epoch#6_Iter#25600_loss: 20.301
[2022-01-28 12:56:39] Epoch#6_Iter#38400_loss: 19.674
[2022-01-28 12:57:26] Epoch#6_Iter#51200_loss: 20.018
[2022-01-28 12:58:14] Epoch#6_Iter#64000_loss: 21.124
[2022-01-28 12:59:02] Epoch#6_Iter#76800_loss: 22.436
[2022-01-28 12:59:50] Epoch#6_Iter#89600_loss: 22.751
[2022-01-28 13:00:37] Epoch#6_Iter#102400_loss: 20.236
[2022-01-28 13:01:25] Epoch#6_Iter#115200_loss: 20.218
[2022-01-28 13:02:13] Epoch#6_Iter#128000_loss: 20.307
[2022-01-28 13:03:01] Epoch#6_Iter#140800_loss: 22.381
[2022-01-28 13:03:48] Epoch#6_Iter#153600_loss: 17.667
[2022-01-28 13:04:36] Epoch#6_Iter#166400_loss: 20.972
[2022-01-28 13:05:24] Epoch#6_Iter#179200_loss: 21.587
[2022-01-28 13:06:11] Epoch#6_Iter#192000_loss: 22.934
[2022-01-28 13:06:59] Epoch#6_Iter#204800_loss: 20.049
[2022-01-28 13:07:47] Epoch#6_Iter#217600_loss: 21.945
[2022-01-28 13:08:35] Epoch#6_Iter#230400_loss: 23.254
[2022-01-28 13:09:22] Epoch#6_Iter#243200_loss: 20.220
[2022-01-28 13:10:10] Epoch#6_Iter#256000_loss: 20.978
[2022-01-28 13:10:58] Epoch#6_Iter#268800_loss: 22.641
[2022-01-28 13:11:46] Epoch#6_Iter#281600_loss: 20.010
[2022-01-28 13:12:33] Epoch#6_Iter#294400_loss: 18.028
[2022-01-28 13:13:21] Epoch#6_Iter#307200_loss: 19.089
[2022-01-28 13:14:09] Epoch#6_Iter#320000_loss: 19.552
[2022-01-28 13:14:56] Epoch#6_Iter#332800_loss: 20.343
[2022-01-28 13:15:44] Epoch#6_Iter#345600_loss: 21.800
