[2022-01-20 14:46:03] cos_res50_sgd_0.005_exp_started.
[2022-01-20 15:55:40] Epoch#3_Iter#128000_loss: 27.704
[2022-01-20 15:56:27] Epoch#3_Iter#140800_loss: 26.632
[2022-01-20 15:57:15] Epoch#3_Iter#153600_loss: 26.076
[2022-01-20 15:58:02] Epoch#3_Iter#166400_loss: 26.183
[2022-01-20 15:58:50] Epoch#3_Iter#179200_loss: 25.965
[2022-01-20 15:59:37] Epoch#3_Iter#192000_loss: 26.627
[2022-01-20 16:00:25] Epoch#3_Iter#204800_loss: 27.107
[2022-01-20 16:01:12] Epoch#3_Iter#217600_loss: 25.789
[2022-01-20 16:02:00] Epoch#3_Iter#230400_loss: 26.918
[2022-01-20 16:02:47] Epoch#3_Iter#243200_loss: 25.297
[2022-01-20 16:03:35] Epoch#3_Iter#256000_loss: 27.464
[2022-01-20 16:04:22] Epoch#3_Iter#268800_loss: 26.311
[2022-01-20 16:05:10] Epoch#3_Iter#281600_loss: 26.628
[2022-01-20 16:05:57] Epoch#3_Iter#294400_loss: 26.946
[2022-01-20 16:06:45] Epoch#3_Iter#307200_loss: 26.086
[2022-01-20 16:07:32] Epoch#3_Iter#320000_loss: 25.374
[2022-01-20 16:08:20] Epoch#3_Iter#332800_loss: 27.225
[2022-01-20 16:09:07] Epoch#3_Iter#345600_loss: 26.806
[2022-01-20 16:09:55] Epoch#3_Iter#358400_loss: 24.719
[2022-01-20 16:10:42] Epoch#3_Iter#371200_loss: 24.498
[2022-01-20 16:11:30] Epoch#3_Iter#384000_loss: 24.156
[2022-01-20 16:12:17] Epoch#3_Iter#396800_loss: 26.007
[2022-01-20 16:13:05] Epoch#3_Iter#409600_loss: 24.232
[2022-01-20 16:13:52] Epoch#3_Iter#422400_loss: 25.415
[2022-01-20 16:14:40] Epoch#3_Iter#435200_loss: 25.683
[2022-01-20 16:15:27] Epoch#3_Iter#448000_loss: 24.099
[2022-01-20 16:16:15] Epoch#3_Iter#460800_loss: 25.416
[2022-01-20 16:17:02] Epoch#3_Iter#473600_loss: 23.565
[2022-01-20 16:17:50] Epoch#3_Iter#486400_loss: 25.217
[2022-01-20 16:18:35] Epoch#3 end, Accuracy: 87.117, Time Consumed: 1820.250
[2022-01-20 16:19:23] Epoch#4_Iter#12800_loss: 24.177
[2022-01-20 16:20:11] Epoch#4_Iter#25600_loss: 23.116
[2022-01-20 16:20:58] Epoch#4_Iter#38400_loss: 23.809
[2022-01-20 16:21:46] Epoch#4_Iter#51200_loss: 23.915
[2022-01-20 16:22:33] Epoch#4_Iter#64000_loss: 25.129
[2022-01-20 16:23:21] Epoch#4_Iter#76800_loss: 24.040
[2022-01-20 16:24:08] Epoch#4_Iter#89600_loss: 24.789
[2022-01-20 16:24:56] Epoch#4_Iter#102400_loss: 23.625
[2022-01-20 16:25:43] Epoch#4_Iter#115200_loss: 23.966
[2022-01-20 16:26:31] Epoch#4_Iter#128000_loss: 23.827
[2022-01-20 16:27:18] Epoch#4_Iter#140800_loss: 21.953
[2022-01-20 16:28:06] Epoch#4_Iter#153600_loss: 22.345
[2022-01-20 16:28:53] Epoch#4_Iter#166400_loss: 23.176
[2022-01-20 16:29:41] Epoch#4_Iter#179200_loss: 24.686
[2022-01-20 16:30:28] Epoch#4_Iter#192000_loss: 23.591
[2022-01-20 16:31:16] Epoch#4_Iter#204800_loss: 23.810
[2022-01-20 16:32:03] Epoch#4_Iter#217600_loss: 23.250
[2022-01-20 16:32:51] Epoch#4_Iter#230400_loss: 23.408
[2022-01-20 16:33:38] Epoch#4_Iter#243200_loss: 23.108
[2022-01-20 16:34:26] Epoch#4_Iter#256000_loss: 23.062
[2022-01-20 16:35:13] Epoch#4_Iter#268800_loss: 24.289
[2022-01-20 16:36:01] Epoch#4_Iter#281600_loss: 23.682
[2022-01-20 16:36:48] Epoch#4_Iter#294400_loss: 23.695
[2022-01-20 16:37:36] Epoch#4_Iter#307200_loss: 22.898
[2022-01-20 16:38:23] Epoch#4_Iter#320000_loss: 22.595
[2022-01-20 16:39:11] Epoch#4_Iter#332800_loss: 21.363
[2022-01-20 16:39:58] Epoch#4_Iter#345600_loss: 23.573
[2022-01-20 16:40:46] Epoch#4_Iter#358400_loss: 23.110
[2022-01-20 16:41:33] Epoch#4_Iter#371200_loss: 23.105
[2022-01-20 16:42:21] Epoch#4_Iter#384000_loss: 24.364
[2022-01-20 16:43:08] Epoch#4_Iter#396800_loss: 21.082
[2022-01-20 16:43:56] Epoch#4_Iter#409600_loss: 23.170
[2022-01-20 16:44:43] Epoch#4_Iter#422400_loss: 22.955
[2022-01-20 16:45:31] Epoch#4_Iter#435200_loss: 24.089
[2022-01-20 16:46:18] Epoch#4_Iter#448000_loss: 21.369
[2022-01-20 16:47:06] Epoch#4_Iter#460800_loss: 22.170
[2022-01-20 16:47:53] Epoch#4_Iter#473600_loss: 22.657
[2022-01-20 16:48:41] Epoch#4_Iter#486400_loss: 22.014
[2022-01-20 16:49:26] Epoch#4 end, Accuracy: 90.433, Time Consumed: 1820.269
[2022-01-20 16:50:14] Epoch#5_Iter#12800_loss: 23.279
[2022-01-20 16:51:02] Epoch#5_Iter#25600_loss: 20.615
[2022-01-20 16:51:49] Epoch#5_Iter#38400_loss: 20.705
[2022-01-20 16:52:37] Epoch#5_Iter#51200_loss: 22.565
[2022-01-20 16:53:24] Epoch#5_Iter#64000_loss: 20.613
[2022-01-20 16:54:12] Epoch#5_Iter#76800_loss: 19.834
[2022-01-20 16:54:59] Epoch#5_Iter#89600_loss: 20.634
[2022-01-20 16:55:47] Epoch#5_Iter#102400_loss: 21.340
[2022-01-20 16:56:34] Epoch#5_Iter#115200_loss: 20.166
[2022-01-20 16:57:22] Epoch#5_Iter#128000_loss: 20.605
[2022-01-20 16:58:09] Epoch#5_Iter#140800_loss: 22.962
[2022-01-20 16:58:57] Epoch#5_Iter#153600_loss: 21.324
[2022-01-20 16:59:44] Epoch#5_Iter#166400_loss: 23.328
[2022-01-20 17:00:32] Epoch#5_Iter#179200_loss: 20.341
[2022-01-20 17:01:19] Epoch#5_Iter#192000_loss: 20.944
